Homme_Badminton_Double;;;;
;;;;
Colonnes :;;;;
1: Type;;;;
2: Date;;;;
3: Heure de début;;;;
4: Heure de fin;;;;
5: Localisation;;;;
6: Nationalités / Équipes;;;;
;;;;
#######;;;;
Double Homme;27/07/24;08:30;12:00;Arena Porte de La Chapelle
Double Homme;27/07/24;14:00;17:30;Arena Porte de La Chapelle
Double Homme;27/07/24;19:30;23:00;Arena Porte de La Chapelle
Double Homme;28/07/24;08:30;12:00;Arena Porte de La Chapelle
Double Homme;28/07/24;19:30;23:00;Arena Porte de La Chapelle
Double Homme;29/07/24;08:30;12:00;Arena Porte de La Chapelle
Double Homme;29/07/24;14:00;17:30;Arena Porte de La Chapelle
Double Homme;29/07/24;19:30;23:00;Arena Porte de La Chapelle
Double Homme;30/07/24;08:30;12:00;Arena Porte de La Chapelle
Double Homme;30/07/24;14:00;17:30;Arena Porte de La Chapelle
Double Homme;30/07/24;19:30;23:00;Arena Porte de La Chapelle
1/4 de finale;01/08/24;13:00;16:30;Arena Porte de La Chapelle
1/2 de finale;02/08/24;08:30;13:00;Arena Porte de La Chapelle
Finale Bronze;04/08/24;15:00;17:30;Arena Porte de La Chapelle
Finale Or;04/08/24;15:00;17:30;Arena Porte de La Chapelle
